Timestamp,Month,BRANCH,"New Library Card Registrations, Adult (includes YA)","New Library Card Registrations, Juvenile",Gate Count,PC Reservations,WiFi - Unique Sessions,External Party Library Room Use,Total Branch Circulation,Hotspots Circulation,Curbside,ILL - Sent (Main ONLY),ILL - Received (Main ONLY),ICLs - Sent (MAIN ONLY),ICLs - Received (MAIN ONLY),Total Prints per Month,I2:  ONSITE Sessions 0-5,I3:   ONSITE Sessions 6-11,I4: ONSITE Sessions 12-18,I5:   ONSITE Sessions 19+,I6:  ONSITE Sessions GENERAL INTEREST,ONSITE Attendance 0-5,ONSITE Attendance 6-11,ONSITE Attendance 12-18,ONSITE Attendance 19+,ONSITE Attendance General Interest,OFFSITE Sessions 0-5,OFFSITE Sessions 6-11,OFFSITE Sessions 12-18,OFFSITE Sessions 19+,OFFSITE Sessions General Interest,OFFSITE Attendance 0-5,OFFSITE Attendance 6-11,OFFSITE Attendance 12-18,OFFSITE Attendance 19+,OFFSITE Attendance General Interest,VIRTUAL Sessions 0-5,VIRTUAL Sessions 6-11,VIRTUAL Sessions 12-18,VIRTUAL Sessions 19+,VIRTUAL Sessions General Interest,VIRTUAL Attendance 0-5,VIRTUAL Attendance 6-11,VIRTUAL Attendance 12-18,VIRTUAL Attendance 19+,VIRTUAL Attendance General Interest,I21: NUMBER OF OUTREACH ACTIVITIES Conducted,Outreach Attendance (YCL Internal),"I22: TOTAL # TAKE & MAKES and OTHER PASSIVE PROGRAM PARTICIPANTS
",I23: NUMBER OF STAFF TAKING TRAINING,I24: NUMBER OF HOURS STAFF ATTENDED TRAINING,1-on-1 Total for Month,Email Address,Year,Locker Circulation
2024,04-April,Rock Hill,,381,15313,2034,,4,,,27,,,,,,22,6,15,29,6,890,277,162,292,156,,6,,,,,60,,,,,,,,,,,,,,,,50,14,21.5,8,,2024,
2024,04-April,Clover,,62,2761,214,,1,,,0,,,,,,8,2,2,1,3,85,21,6,4,30,,0,,,,,0,,,,,,,,,,,,,,,,20,4,25,0,,2024,
2024,04-April,Fort Mill,,,11737,781,,6,,,5,,,,,,21,9,7,11,6,754,778,65,94,265,,3,,,,,800,,,,,,,,,,,,,,,,402,2,2,,,2024,
2024,04-April,Lake Wylie,,64,3866,188,,10,,,2,,,,,,4,4,2,12,2,40,20,9,100,11,,0,,,,,0,,,,,,,,,,,,,,,,372,1,24.5,5,,2024,
2024,04-April,York,,,3598,377,,2,,,0,,,,,,12,3,1,7,,206,66,4,61,,,1,,,,,150,,,,,,,,,,,,,,,,5,4,28,0,,2024,
2024,04-April,Bookmobile/Outreach,,,905,,,,,,,,,,,,1,,,2,,25,,,16,,,,,,,,,,,,,,,,,,,,,,,,385,2,8,,,2024,
2024,04-April,YCL (System Wide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024,04-April,YCL (System Wide),,,,,,,,,,6,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024,04-April,YCL (System Wide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024,04-April,YCL (System Wide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
