Month Num,Month,BRANCH,"New Library Card Registrations, Adult (includes YA)","New Library Card Registrations, Juvenile",Gate Count,PC Reservations,WiFi - Unique Sessions,External Party Library Room Use,Total Branch Circulation,Hotspots Circulation,Curbside,ILL - Sent (Main ONLY),ILL - Received (Main ONLY),ICLs - Sent (MAIN ONLY),ICLs - Received (MAIN ONLY),Total Prints per Month,I2:  ONSITE Sessions 0-5,I3:   ONSITE Sessions 6-11,I4: ONSITE Sessions 12-18,I5:   ONSITE Sessions 19+,I6:  ONSITE Sessions GENERAL INTEREST,ONSITE Attendance 0-5,ONSITE Attendance 6-11,ONSITE Attendance 12-18,ONSITE Attendance 19+,ONSITE Attendance General Interest,OFFSITE Sessions 0-5,OFFSITE Sessions 6-11,OFFSITE Sessions 12-18,OFFSITE Sessions 19+,OFFSITE Sessions General Interest,OFFSITE Attendance 0-5,OFFSITE Attendance 6-11,OFFSITE Attendance 12-18,OFFSITE Attendance 19+,OFFSITE Attendance General Interest,VIRTUAL Sessions 0-5,VIRTUAL Sessions 6-11,VIRTUAL Sessions 12-18,VIRTUAL Sessions 19+,VIRTUAL Sessions General Interest,VIRTUAL Attendance 0-5,VIRTUAL Attendance 6-11,VIRTUAL Attendance 12-18,VIRTUAL Attendance 19+,VIRTUAL Attendance General Interest,I21: NUMBER OF OUTREACH ACTIVITIES Conducted,Outreach Attendance (YCL Internal),"I22: TOTAL # TAKE & MAKES and OTHER PASSIVE PROGRAM PARTICIPANTS
",I23: NUMBER OF STAFF TAKING TRAINING,I24: NUMBER OF HOURS STAFF ATTENDED TRAINING,1-on-1 Total for Month,Email Address,Year,Locker Circulation
1,January,ROCK HILL,,237,13105,,,,"14,481",121,,7,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
1,January,CLOVER,,43,2152,216,,1,"2,594",67,,,,,,,10,2,2,4,2,119,25,11,27,75,,,,,,,,,,,,,,,,,,,,,,,30,38,26.5,,,2024,
1,January,FORT MILL,,281,10005,679,,6,"18,615",33,5,,,,,,30,5,5,10,4,867,63,47,85,184,,,,,,,,,,,,,,,,,,,,,,,469,,,,,2024,
1,January,LAKE WYLIE,,75,3147,138,,9,"4,442",12,3,,,,,,1,2,2,10,0,8,6,4,105,0,,0,,,,,0,,,,,,,,,,,,,,,,261,1,9,2,,2024,
1,January,YORK,,54,3430,395,,3,"3,551",99,0,,,,,,10,2,2,9,,146,56,15,91,,,,,,,,,,,,,,,,,,,,,,,,150,4,16,3,,2024,
1,January,OUTREACH/BOOKMOBILE,,18,625,,,,"1,342",0,,,,,,,3,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,130,1,1,,,2024,
1,January,YCL (System Wide),,,,,0,,,,,,,,,4548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2,February,ROCK HILL,,205,13867,,,,"14,107",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2,February,CLOVER,,31,2241,207,,,"2,693",57,,,,,,,13,1,1,7,2,170,10,5,56,46,,,,,,,,,,,,,,,,,,,,,,,0,35,59.5,,,2024,
2,February,FORT MILL,,223,11408,686,,14,"17,829",32,6,,,,,,23,6,7,14,4,683,66,93,116,154,,1,,,,,400,,,,,,,,,,,,,,,,365,16,120,,,2024,
2,February,LAKE WYLIE,,61,3400,193,,11,"4,250",12,3,,,,,,5,4,2,13,0,52,47,8,118,0,,0,,,,,0,,,,,,,,,,,,,,,,432,1,86,5,,2024,
2,February,YORK,,59,3286,409,,5,"3,430",81,0,,,,,,7,3,1,8,1,73,68,5,67,20,,1,,,,,57,,,,,,,,,,,,,,,,48,18,86.5,2,,2024,
2,February,OUTREACH/BOOKMOBILE,,36,1153,,,,"1,764",3,,,,,,,4,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,,,2024,
2,February,YCL (System Wide),,,,,0,,,,21,,,,,5467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
3,March,ROCK HILL,,217,15534,2125,,6,"17,206",141,,6,131,,,,31,5,13,27,6,1188,116,155,277,106,,7,,,,,111,,,,,,,,,,,,,,,,30,42,40.5,10,,2024,
3,March,CLOVER,,39,2402,208,,0,"2,858",62,,,,,,,7,2,2,6,1,62,14,11,48,10,,,,,,,,,,,,,,,,,,,,,,,20,19,20,0,,2024,
3,March,FORT MILL,,201,12508,810,,14,"19,038",23,5,,,,,,33,6,7,14,4,1059,88,75,128,145,,,,,,,,,,,,,,,,,,,,,,,320,5,5,,,2024,
3,March,LAKE WYLIE,,67,3808,218,,12,"4,857",8,2,,,,,,4,2,2,13,2,39,7,19,122,16,,0,,,,,0,,,,,,,,,,,,,,,,365,1,53,9,,2024,
3,March,YORK,,49,3798,458,,4,"3,862",91,0,,,,,,14,1,1,8,,162,4,4,61,,,1,,,,,20,,,,,,,,,,,,,,,,45,11,66,0,,2024,
3,March,OUTREACH/BOOKMOBILE,,33,507,,,,"1,184",1,,,,,,,4,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,489,2,2,3,,2024,
3,March,YCL (System Wide),,,,,0,,,,,,,,,6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
4,April,ROCK HILL,,204,15313,2034,,4,"15,145",132,27,6,116,,,,22,6,15,29,6,890,277,162,292,156,,6,,,,,60,,,,,,,,,,,,,,,,50,14,21.5,8,,2024,
4,April,CLOVER,,85,2761,214,,1,"3,132",63,0,,,,,,8,2,2,1,3,85,21,6,4,30,,0,,,,,0,,,,,,,,,,,,,,,,20,4,25,0,,2024,
4,April,FORT MILL,,215,11737,781,,6,"19,642",26,5,,,,,,21,9,7,11,6,754,778,65,94,265,,3,,,,,800,,,,,,,,,,,,,,,,402,2,2,,,2024,
4,April,LAKE WYLIE,,63,3866,188,,10,"4,663",11,2,,,,,,4,4,2,12,2,40,20,9,100,11,,0,,,,,0,,,,,,,,,,,,,,,,372,1,24.5,5,,2024,
4,April,YORK,,50,3598,377,,2,"3,804",103,0,,,,,,12,3,1,7,,206,66,4,61,,,1,,,,,150,,,,,,,,,,,,,,,,5,4,28,0,,2024,
4,April,OUTREACH/BOOKMOBILE,,8,905,,,,"1,647",3,,,,,,,1,,,2,,25,,,16,,,,,,,,,,,,,,,,,,,,,,,,385,2,8,,,2024,
4,April,YCL (System Wide),,,,,0,,,,,,,,,5306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
5,May,ROCK HILL,,209,17040,1972,,12,"19,243",139,38,4,122,,,,15,6,10,22,8,636,140,59,245,1644,,5,,,,,21,,,,,,,,,,,,,,,,0,15,14.5,7,,2024,
5,May,CLOVER,,32,2618,229,,1,"3,426",60,0,,,,,,10,2,3,3,0,155,12,17,28,0,,0,,,,,0,,,,,,,,,,,,,,,,0,1,25,0,,2024,
5,May,FORT MILL,,228,12340,747,,4,"20,990",28,5,,,,,,21,5,5,10,5,714,70,84,96,894,,1,,,,,770,,,,,,,,,,,,,,,,504,2,2,,,2024,
5,May,LAKE WYLIE,,55,3939,163,,4,"5,447",9,2,,,,,,4,5,2,9,3,50,51,11,91,3,,0,,,,,0,,,,,,,,,,,,,,,,411,1,9,1,,2024,
5,May,YORK,,72,3958,451,,2,"4,424",98,0,,,,,,10,3,7,9,1,135,72,7,69,112,,,,,,,,,,,,,,,,,,,,,,,0,3,9,0,,2024,
5,May,OUTREACH/BOOKMOBILE,,12,571,,,,"1,324",1,,,,,,,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,2024,
5,May,YCL (System Wide),,,,,0,,,,,,,,,6526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
6,June,ROCK HILL,,325,17538,1922,3497,3,"21,648",122,,122,4,2857,6142,,11,4,18,19,16,456,88,237,164,1609,,,,,,,,,,,,,,,,,,,,,,,,15,14,18,,2024,159
6,June,CLOVER,,50,3142,323,505,1,"4,678",57,,,,992,1832,,11,3,2,6,7,175,47,17,46,260,,,,,,,,,,,,,,,,,,,,,,,,28,31,0,,2024,43
6,June,FORT MILL,,329,12647,913,1944,0,"23,998",28,,,,1523,6441,,22,4,7,8,17,684,113,71,76,998,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,2024,241
6,June,LAKE WYLIE,,91,4927,202,665,6,"6,109",18,,,,1337,2787,,6,3,3,9,1,138,32,31,71,72,,,,,,,,,,,,,,,,,,,,,,,,1,20,5,,2024,128
6,June,YORK,,91,4363,482,877,2,"5,010",95,,,,1349,2303,,11,8,1,6,0,204,452,7,40,0,,,,,,,,,,,,,,,,,,,,,,,,6,12,3,,2024,59
6,June,OUTREACH / BOOKMOBILE,,36,756,,,,"1,498",4,,,,19,397,,1,0,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,2024,
7,July,ROCK HILL,,241,19042,2069,,2,"20,255",150,40,11,136,,,,11,5,25,20,13,652,153,315,165,1092,,2,,,,,71,,,,,,,,,,,,,,,,674,9,53,7,,2024,
7,July,CLOVER,,33,3101,320,,,"4,061",65,0,,,,,,14,3,5,6,6,177,17,30,53,106,,,,,,,,,,,,,,,,,,,,,,,108,17,20.5,,,2024,
7,July,FORT MILL,,332,13217,935,,2,"25,017",30,5,,,,,,24,5,7,8,15,737,95,86,75,741,,1,,,,,12,,,,,,,,,,,,,,,,491,1,1,,,2024,
7,July,LAKE WYLIE,,75,4727,,,,"6,425",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
7,July,YORK,,72,4740,538,,2,"4,886",118,0,,,,,,9,10,3,7,0,143,292,32,114,0,,0,,,,,0,,,,,,,,,,,,,,,,35,6,108,0,,2024,
7,July,OUTREACH / BOOKMOBILE,,24,815,,,,"1,682",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
7,July,YCL (System Wide),,,,,0,,,,,,,,,4827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
8,August,ROCK HILL,,248,14835,1918,,,"15,733",146,20,5,116,,,,,,5,16,1,,,46,135,34,,,,,,,,,,,,,,,,,,,,,,,244,50,375,21,,2024,
8,August,CLOVER,,51,2957,353,,1,"3,440",54,0,,,,,,1,,,4,1,16,,,20,5,,,,,,,,,,,,,,,,,,,,,,,100,26,76.5,,,2024,
8,August,FORT MILL,,191,9858,765,,3,"20,930",30,5,,,,,,,1,,6,1,,15,,50,52,,,,,,,,,,,,,,,,,,,,,,,242,17,133,,,2024,
8,August,LAKE WYLIE,,60,3610,196,,10,"5,285",16,0,,,,,,1,0,0,10,4,7,0,0,82,27,,0,,,,,0,,,,,,,,,,,,,,,,249,11,81.5,3,,2024,
8,August,YORK,,130,3663,516,,3,"4,017",100,0,,,,,,,,,2,,,,,15,,,1,,,,,40,,,,,,,,,,,,,,,,0,6,30,0,,2024,
8,August,OUTREACH/BOOKMOBILE,,34,732,,,,"1,322",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,6,,2024,
8,August,YCL (System Wide),,,,,,,,,,,,,,5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
9,September,ROCK HILL,,202,14352,,,2,"15,869",125,26,5,136,,,,27,7,11,21,7,1083,1357,123,184,813,,8,,,,,2010,,,,,,,,,,,,,,,,75,10,28,3,,2024,
9,September,CLOVER,,34,2576,265,,1,"3,232",51,,,,,,,9,2,2,6,2,118,28,8,48,65,,,,,,,,,,,,,,,,,,,,,,,115,4,9.5,,,2024,
9,September,FORT MILL,,208,10362,672,,2,"18,375",27,5,,,,,,31,5,7,11,1,819,66,85,88,62,,,,,,,,,,,,,,,,,,,,,,,407,2,9,,,2024,
9,September,LAKE WYLIE,,40,3476,162,,11,"4,702",16,0,,,,,,5,5,1,9,3,82,74,3,59,8,,0,,,,,0,,,,,,,,,,,,,,,,256,1,16.5,5,,2024,
9,September,YORK,,62,3624,432,,3,"3,843",97,0,,,,,,13,3,1,9,,201,81,4,78,,,1,,,,,200,,,,,,,,,,,,,,,,26,11,16,4,,2024,
9,September,OUTREACH/BOOKMOBILE,,31,836,,,,"1,820",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,3,18,3,,2024,
9,September,YCL (System Wide),,,,,,,,,,,,,,4221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
10,October,ROCK HILL,,204,15812,1930,,3,"15,985",137,31,4,115,,,,25,9,11,20,7,959,221,137,161,178,,5,,,,,221,,,,,,,,,,,,,,,,180,14,47.75,13,,2024,
10,October,CLOVER,,37,2983,288,,,"3,272",58,,,,,,,12,2,2,7,3,140,16,11,60,251,,,,,,,,,,,,,,,,,,,,,,,86,30,76,,,2024,
10,October,FORT MILL,,180,11091,729,,,"19,017",34,5,,,,,,40,6,8,10,4,806,82,71,100,108,,,,,,,,,,,,,,,,,,,,,,,328,,,,,2024,
10,October,LAKE WYLIE,,48,3989,167,,9,"4,827",15,2,,,,,,8,6,3,10,3,178,78,13,83,13,,1,,,,,24,,,,,,,,,,,,,,,,290,1,6,3,,2024,
10,October,YORK,,85,4509,616,,1,"7,422",116,0,,,,,,11,4,2,9,,152,116,11,77,,,,,,,,,,,,,,,,,,,,,,,,46,6,12,2,,2024,
