id,section,name,data_type,sort_order,is_auto_calculated,auto_calc_note
1,OPERATIONS,Total Systemwide Annual Weekend / Evening Hours,integer,0,False,
2,OPERATIONS,Total Systemwide Annual Hours,integer,1,False,
3,OPERATIONS,Number of Library Trustees,integer,2,False,
4,OPERATIONS,Regular Board Meetings,integer,3,False,
5,OPERATIONS,Does the library have a FOL group?,text,4,False,
6,OPERATIONS,Number of FOL groups,integer,5,False,
7,OPERATIONS,Friends Members all groups,integer,6,False,
8,STAFFING,MLIS Librarian Positions: Full Time,integer,7,False,
9,STAFFING,MLIS Librarian Positions: Part time,integer,8,False,
10,STAFFING,Librarian positions: MLIS FTE,decimal,9,False,
11,STAFFING,Full Time Funded Other Librarian Positions,integer,10,False,
12,STAFFING,Part Time Funded Other Librarian Positions,integer,11,False,
13,STAFFING,FTE Other Librarians,decimal,12,False,
14,STAFFING,Librarian positions: BA/BS Full time,integer,13,False,
15,STAFFING,Librarian positions: BA/BS Part time,integer,14,False,
16,STAFFING,Librarian positions: BA/BS FTE,decimal,15,False,
17,STAFFING,Librarian positions: Less than BA/BS Full time,integer,16,False,
18,STAFFING,Librarian positions: Less than BA/BS Part time,integer,17,False,
19,STAFFING,Librarian positions: Less than BA/BS FTE,decimal,18,False,
20,STAFFING,Total Librarians,integer,19,False,
21,STAFFING,All other Full time funded positions,integer,20,False,
22,STAFFING,All other Part time funded positions,integer,21,False,
23,STAFFING,All other staff FTE,decimal,22,False,
24,STAFFING,Full time positions: Total,integer,23,False,
25,STAFFING,Part time positions: Total,integer,24,False,
26,STAFFING,Grand total library staff FTE,decimal,25,False,
27,STAFFING,New librarian gross annual salary,integer,26,False,
28,REVENUE,Millage assessed,decimal,27,False,
29,REVENUE,County operating revenue,integer,28,False,
30,REVENUE,County capital revenue,integer,29,False,
31,REVENUE,Total local operating revenue,integer,30,False,
32,REVENUE,Total local capital revenue,integer,31,False,
33,REVENUE,State Aid operating revenue,decimal,32,False,
34,REVENUE,Total State Aid revenue,integer,33,False,
35,REVENUE,Lottery operating revenue,integer,34,False,
36,REVENUE,Total state operating revenue,integer,35,False,
37,REVENUE,Federal / LSTA operating revenue,integer,36,False,
38,REVENUE,Other federal operating revenue,integer,37,False,
39,REVENUE,Total federal operating revenue,integer,38,False,
40,REVENUE,Total federal capital revenue,integer,39,False,
41,REVENUE,Other operating revenue,integer,40,False,
42,REVENUE,Other capital revenue,integer,41,False,
43,REVENUE,Total operating revenue,integer,42,False,
44,REVENUE,Subtotal: Capital outlay,integer,43,False,
45,REVENUE,Total capital outlay including other revenue,integer,44,False,
46,REVENUE,Grand total operating + capital revenue,integer,45,False,
47,EXPENSES STAFF,Salary / Wages,integer,46,False,
48,EXPENSES STAFF,Employee benefits,integer,47,False,
49,EXPENSES STAFF,Total staff expenditures,integer,48,False,
50,EXPENSES COLLECTION,Expenditures: Print materials,integer,49,False,
51,EXPENSES COLLECTION,Expenditures: Electronic materials,integer,50,False,
52,EXPENSES COLLECTION,Expenditures: AV materials,integer,51,False,
53,EXPENSES COLLECTION,Expenditures: Other materials,integer,52,False,
54,EXPENSES COLLECTION,Expenditures: Total Other Materials,integer,53,False,
55,EXPENSES COLLECTION,Expenditures: Total for collections,integer,54,False,
56,EXPENSES OPERATIONS,Expenditures: Other operating - Furniture & Equipment,integer,55,False,
57,EXPENSES OPERATIONS,Expenditures: Other operating - Plant operations & Maintenance,integer,56,False,
58,EXPENSES OPERATIONS,Expenditures: All other operating,integer,57,False,
59,EXPENSES OPERATIONS,Expenditures: Total other,integer,58,False,
60,EXPENSES OPERATIONS,Expenditures: Total operating,integer,59,False,
61,EXPENSES CAPITAL,Expenditures: Capital building,integer,60,False,
