id,category_id,branch_id,year,month,quarter,submitted_at,submitted_by,notes
797,1,6,2025,8,,,SIRSI Import,
798,1,2,2025,8,,,SIRSI Import,
799,1,12,2025,8,,,SIRSI Import,
800,1,3,2025,8,,,SIRSI Import,
801,1,13,2025,8,,,SIRSI Import,
802,1,4,2025,8,,,SIRSI Import,
803,1,14,2025,8,,,SIRSI Import,
804,1,1,2025,8,,,SIRSI Import,
805,1,16,2025,8,,,SIRSI Import,
806,1,5,2025,8,,,SIRSI Import,
807,1,15,2025,8,,,SIRSI Import,
808,1,1,2024,1,,,Excel Import,
809,1,2,2024,1,,,Excel Import,
810,1,3,2024,1,,,Excel Import,
811,1,4,2024,1,,,Excel Import,
812,1,5,2024,1,,,Excel Import,
813,1,6,2024,1,,,Excel Import,
814,1,7,2024,1,,,Excel Import,
815,1,1,2024,2,,,Excel Import,
816,1,2,2024,2,,,Excel Import,
817,1,3,2024,2,,,Excel Import,
818,1,4,2024,2,,,Excel Import,
819,1,5,2024,2,,,Excel Import,
820,1,6,2024,2,,,Excel Import,
821,1,7,2024,2,,,Excel Import,
822,1,1,2024,3,,,Excel Import,
823,1,2,2024,3,,,Excel Import,
824,1,3,2024,3,,,Excel Import,
825,1,4,2024,3,,,Excel Import,
826,1,5,2024,3,,,Excel Import,
827,1,6,2024,3,,,Excel Import,
828,1,7,2024,3,,,Excel Import,
829,1,1,2024,4,,,Excel Import,
830,1,2,2024,4,,,Excel Import,
831,1,3,2024,4,,,Excel Import,
832,1,4,2024,4,,,Excel Import,
833,1,5,2024,4,,,Excel Import,
834,1,6,2024,4,,,Excel Import,
835,1,7,2024,4,,,Excel Import,
836,1,1,2024,5,,,Excel Import,
837,1,2,2024,5,,,Excel Import,
838,1,3,2024,5,,,Excel Import,
839,1,4,2024,5,,,Excel Import,
840,1,5,2024,5,,,Excel Import,
841,1,6,2024,5,,,Excel Import,
842,1,7,2024,5,,,Excel Import,
843,1,1,2024,6,,,Excel Import,
844,1,2,2024,6,,,Excel Import,
845,1,3,2024,6,,,Excel Import,
846,1,4,2024,6,,,Excel Import,
847,1,5,2024,6,,,Excel Import,
848,1,6,2024,6,,,Excel Import,
849,1,1,2024,7,,,Excel Import,
850,1,2,2024,7,,,Excel Import,
851,1,3,2024,7,,,Excel Import,
852,1,4,2024,7,,,Excel Import,
853,1,5,2024,7,,,Excel Import,
854,1,6,2024,7,,,Excel Import,
855,1,7,2024,7,,,Excel Import,
856,1,1,2024,8,,,Excel Import,
857,1,2,2024,8,,,Excel Import,
858,1,3,2024,8,,,Excel Import,
859,1,4,2024,8,,,Excel Import,
860,1,5,2024,8,,,Excel Import,
861,1,6,2024,8,,,Excel Import,
862,1,7,2024,8,,,Excel Import,
863,1,1,2024,9,,,Excel Import,
864,1,2,2024,9,,,Excel Import,
865,1,3,2024,9,,,Excel Import,
866,1,4,2024,9,,,Excel Import,
867,1,5,2024,9,,,Excel Import,
868,1,6,2024,9,,,Excel Import,
869,1,7,2024,9,,,Excel Import,
870,1,1,2024,10,,,Excel Import,
871,1,2,2024,10,,,Excel Import,
872,1,3,2024,10,,,Excel Import,
873,1,4,2024,10,,,Excel Import,
874,1,5,2024,10,,,Excel Import,
875,1,6,2024,10,,,Excel Import,
876,1,7,2024,10,,,Excel Import,
877,1,1,2024,11,,,Excel Import,
878,1,2,2024,11,,,Excel Import,
879,1,3,2024,11,,,Excel Import,
880,1,4,2024,11,,,Excel Import,
881,1,5,2024,11,,,Excel Import,
882,1,6,2024,11,,,Excel Import,
883,1,7,2024,11,,,Excel Import,
884,1,1,2024,12,,,Excel Import,
885,1,2,2024,12,,,Excel Import,
886,1,3,2024,12,,,Excel Import,
887,1,4,2024,12,,,Excel Import,
888,1,5,2024,12,,,Excel Import,
889,1,6,2024,12,,,Excel Import,
890,1,7,2024,12,,,Excel Import,
891,1,2,2025,4,,,Excel Import,
892,1,3,2025,4,,,Excel Import,
893,1,4,2025,4,,,Excel Import,
894,1,1,2025,4,,,Excel Import,
895,1,5,2025,4,,,Excel Import,
896,1,6,2025,4,,,Excel Import,
897,1,4,2025,12,,,Excel Import,
898,1,5,2025,12,,,Excel Import,
899,1,3,2025,12,,,Excel Import,
900,1,6,2025,12,,,Excel Import,
901,1,1,2025,12,,,Excel Import,
902,1,2,2025,2,,,Excel Import,
903,1,3,2025,2,,,Excel Import,
904,1,4,2025,2,,,Excel Import,
905,1,1,2025,2,,,Excel Import,
906,1,5,2025,2,,,Excel Import,
907,1,6,2025,2,,,Excel Import,
908,1,1,2025,1,,,Excel Import,
909,1,2,2025,1,,,Excel Import,
910,1,3,2025,1,,,Excel Import,
911,1,4,2025,1,,,Excel Import,
912,1,5,2025,1,,,Excel Import,
913,1,6,2025,1,,,Excel Import,
914,1,6,2025,7,,,Excel Import,
915,1,2,2025,7,,,Excel Import,
916,1,3,2025,7,,,Excel Import,
917,1,4,2025,7,,,Excel Import,
918,1,1,2025,7,,,Excel Import,
919,1,5,2025,7,,,Excel Import,
920,1,1,2025,6,,,Excel Import,
921,1,2,2025,6,,,Excel Import,
922,1,3,2025,6,,,Excel Import,
923,1,4,2025,6,,,Excel Import,
924,1,5,2025,6,,,Excel Import,
925,1,6,2025,6,,,Excel Import,
926,1,2,2025,3,,,Excel Import,
927,1,3,2025,3,,,Excel Import,
928,1,4,2025,3,,,Excel Import,
929,1,1,2025,3,,,Excel Import,
930,1,5,2025,3,,,Excel Import,
931,1,6,2025,3,,,Excel Import,
932,1,2,2025,5,,,Excel Import,
933,1,3,2025,5,,,Excel Import,
934,1,4,2025,5,,,Excel Import,
935,1,1,2025,5,,,Excel Import,
936,1,5,2025,5,,,Excel Import,
937,1,6,2025,5,,,Excel Import,
938,1,3,2025,11,,,Excel Import,
939,1,2,2025,11,,,Excel Import,
940,1,4,2025,11,,,Excel Import,
941,1,6,2025,11,,,Excel Import,
942,1,5,2025,11,,,Excel Import,
943,1,1,2025,11,,,Excel Import,
944,1,5,2025,10,,,Excel Import,
945,1,6,2025,10,,,Excel Import,
946,1,4,2025,10,,,Excel Import,
947,1,2,2025,10,,,Excel Import,
948,1,3,2025,10,,,Excel Import,
949,1,1,2025,10,,,Excel Import,
950,1,6,2025,9,,,Excel Import,
951,1,4,2025,9,,,Excel Import,
952,1,5,2025,9,,,Excel Import,
953,1,2,2025,9,,,Excel Import,
954,1,1,2025,9,,,Excel Import,
955,1,3,2025,9,,,Excel Import,
956,1,3,2026,1,,,Excel Import,
957,1,4,2026,1,,,Excel Import,
958,1,2,2026,1,,,Excel Import,
959,1,6,2026,1,,,Excel Import,
960,1,5,2026,1,,,Excel Import,
961,1,1,2026,1,,,Excel Import,
962,1,4,2026,2,,,Excel Import,
963,1,5,2026,2,,,Excel Import,
964,1,3,2026,2,,,Excel Import,
965,1,6,2026,2,,,Excel Import,
966,1,2,2026,2,,,Excel Import,
967,1,2,2026,3,,,Excel Import,
968,1,4,2026,3,,,Excel Import,
969,1,3,2026,3,,,Excel Import,
970,1,6,2026,3,,,Excel Import,
971,1,5,2026,3,,,Excel Import,
972,1,1,2026,3,,,Excel Import,
973,1,2,2025,12,,,SIRSI Import,
974,1,12,2025,12,,,SIRSI Import,
975,1,13,2025,12,,,SIRSI Import,
976,1,14,2025,12,,,SIRSI Import,
977,1,16,2025,12,,,SIRSI Import,
978,1,12,2026,2,,,SIRSI Import,
979,1,13,2026,2,,,SIRSI Import,
980,1,14,2026,2,,,SIRSI Import,
981,1,1,2026,2,,,SIRSI Import,
982,1,15,2026,2,,,SIRSI Import,
983,1,12,2026,1,,,SIRSI Import,
984,1,13,2026,1,,,SIRSI Import,
985,1,14,2026,1,,,SIRSI Import,
986,1,15,2026,1,,,SIRSI Import,
987,1,12,2025,7,,,SIRSI Import,
988,1,13,2025,7,,,SIRSI Import,
989,1,14,2025,7,,,SIRSI Import,
990,1,16,2025,7,,,SIRSI Import,
991,1,15,2025,7,,,SIRSI Import,
992,1,12,2026,3,,,SIRSI Import,
993,1,13,2026,3,,,SIRSI Import,
994,1,14,2026,3,,,SIRSI Import,
995,1,15,2026,3,,,SIRSI Import,
996,1,16,2026,3,,,SIRSI Import,
997,1,12,2025,11,,,SIRSI Import,
998,1,13,2025,11,,,SIRSI Import,
999,1,14,2025,11,,,SIRSI Import,
1000,1,15,2025,11,,,SIRSI Import,
1001,1,12,2025,10,,,SIRSI Import,
1002,1,13,2025,10,,,SIRSI Import,
1003,1,14,2025,10,,,SIRSI Import,
1004,1,15,2025,10,,,SIRSI Import,
1005,1,16,2025,10,,,SIRSI Import,
1006,1,12,2025,9,,,SIRSI Import,
1007,1,13,2025,9,,,SIRSI Import,
1008,1,14,2025,9,,,SIRSI Import,
1009,1,16,2025,9,,,SIRSI Import,
1010,1,15,2025,9,,,SIRSI Import,
1011,4,2,2025,6,1,,Excel Import,
1012,4,3,2025,6,1,,Excel Import,
