id,entry_id,metric_id,value_number,value_text
11888,797,1,19.0,
11889,797,2,20.0,
11894,806,1,60.0,
11895,806,2,118.0,
11898,802,1,72.0,
11899,802,2,15.0,
11890,798,1,38.0,
11891,798,2,4.0,
11896,800,1,213.0,
11892,804,1,199.0,
11893,804,2,57.0,
25,897,9,4560.0,
13324,897,10,30.0,
29,898,9,7039.0,
2713,900,10,2.0,
27,901,9,38.0,
63,918,9,33792.0,
11897,800,2,43.0,
65,919,9,6285.0,
66,919,10,105.0,
84,938,9,34845.0,
14173,938,10,56.0,
15327,938,1,181.0,
15328,938,2,42.0,
11916,809,48,0.0,
82,939,9,4166.0,
14191,939,10,76.0,
15325,939,2,7.0,
86,940,9,4116.0,
14235,940,10,17.0,
11933,810,48,0.0,
15331,940,1,38.0,
80,941,9,3056.0,
14287,942,10,91.0,
15329,942,1,49.0,
15330,942,2,29.0,
11943,811,21,0.0,
11948,811,27,0.0,
11949,811,32,0.0,
11950,811,48,0.0,
88,943,9,31.0,
101,944,9,8931.0,
15337,944,1,64.0,
15338,944,2,87.0,
15333,945,1,12.0,
11962,812,21,0.0,
11966,812,48,0.0,
15334,945,2,16.0,
97,946,9,5737.0,
11972,813,21,0.0,
11973,813,48,0.0,
15343,946,1,49.0,
93,947,9,5548.0,
14426,947,10,88.0,
15339,947,1,26.0,
95,948,9,23486.0,
14446,948,10,65.0,
15341,948,1,211.0,
11991,816,48,0.0,
11992,816,49,0.0,
15342,948,2,53.0,
15347,950,1,16.0,
15348,950,2,113.0,
110,951,9,5549.0,
15351,951,1,48.0,
15352,951,2,11.0,
114,952,9,6762.0,
15356,952,1,64.0,
15357,952,2,67.0,
106,953,9,5324.0,
15349,953,1,41.0,
15350,953,2,14.0,
112,954,9,16046.0,
15345,954,1,210.0,
15346,954,2,172.0,
12008,817,27,0.0,
12009,817,32,0.0,
12010,817,48,0.0,
108,955,9,21893.0,
15354,955,1,200.0,
45,956,9,40953.0,
14648,956,10,71.0,
47,957,9,5708.0,
14666,957,10,29.0,
42,958,9,4823.0,
50,960,9,7362.0,
14754,960,10,102.0,
35,962,9,4042.0,
12022,818,21,0.0,
12027,818,27,0.0,
11908,809,18,2.0,
11909,809,19,2.0,
11910,809,20,4.0,
11911,809,21,2.0,
11912,809,22,119.0,
11913,809,23,25.0,
11914,809,24,11.0,
11915,809,25,27.0,
11917,809,49,30.0,
11918,809,50,38.0,
11902,808,13,7.0,
11907,809,17,10.0,
11924,810,17,30.0,
11925,810,18,5.0,
11926,810,19,5.0,
11927,810,20,10.0,
11928,810,21,4.0,
11929,810,22,867.0,
11930,810,23,63.0,
11931,810,24,47.0,
11932,810,25,85.0,
11939,811,17,1.0,
11940,811,18,2.0,
11941,811,19,2.0,
11942,811,20,10.0,
11944,811,22,8.0,
11945,811,23,6.0,
11946,811,24,4.0,
11947,811,25,105.0,
11951,811,49,261.0,
11952,811,50,1.0,
11953,811,51,9.0,
11959,812,17,10.0,
11960,812,18,2.0,
11961,812,19,2.0,
11963,812,22,146.0,
11964,812,23,56.0,
11965,812,24,15.0,
11967,812,49,150.0,
11968,812,50,4.0,
11969,812,51,16.0,
11974,813,49,130.0,
11975,813,50,1.0,
11982,816,17,13.0,
11983,816,18,1.0,
11984,816,19,1.0,
11985,816,20,7.0,
11986,816,21,2.0,
11987,816,22,170.0,
11988,816,23,10.0,
11989,816,24,5.0,
12028,818,32,0.0,
12029,818,48,0.0,
14823,962,10,23.0,
14866,963,10,110.0,
33,964,9,39230.0,
14887,964,10,64.0,
30,965,9,2226.0,
12047,819,27,0.0,
12048,819,32,0.0,
12049,819,48,0.0,
31,966,9,4894.0,
14918,966,10,58.0,
12055,820,21,0.0,
12056,820,49,0.0,
70,967,9,4877.0,
74,968,9,4975.0,
72,969,9,42370.0,
15047,969,10,79.0,
15074,971,10,107.0,
76,972,9,3708.0,
12076,822,27,0.0,
12077,822,32,0.0,
12078,822,48,0.0,
12095,823,48,0.0,
12113,824,48,0.0,
12130,825,27,0.0,
12131,825,32,0.0,
12132,825,48,0.0,
12144,826,21,0.0,
12148,826,27,0.0,
12149,826,32,0.0,
12150,826,48,0.0,
12156,827,21,0.0,
12157,827,48,0.0,
12179,829,27,0.0,
12180,829,32,0.0,
12181,829,48,0.0,
12043,819,22,73.0,
12044,819,23,68.0,
12045,819,24,5.0,
12046,819,25,67.0,
12050,819,49,48.0,
12051,819,50,18.0,
12052,819,51,86.5,
12057,820,50,1.0,
12065,822,13,6.0,
12030,818,49,432.0,
12031,818,50,1.0,
12032,818,51,86.0,
12038,819,17,7.0,
12039,819,18,3.0,
12040,819,19,1.0,
12041,819,20,8.0,
12042,819,21,1.0,
12067,822,17,31.0,
12068,822,18,5.0,
12069,822,19,13.0,
12070,822,20,27.0,
12071,822,21,6.0,
12072,822,22,1188.0,
12073,822,23,116.0,
12074,822,24,155.0,
12075,822,25,277.0,
12079,822,49,30.0,
12080,822,50,42.0,
12081,822,51,40.5,
12086,823,17,7.0,
12087,823,18,2.0,
12088,823,19,2.0,
12089,823,20,6.0,
12090,823,21,1.0,
12091,823,22,62.0,
12092,823,23,14.0,
12093,823,24,11.0,
12094,823,25,48.0,
12096,823,49,20.0,
12097,823,50,19.0,
2714,16,13,99.0,
2715,16,14,99.0,
12199,830,27,0.0,
12200,830,32,0.0,
12201,830,48,0.0,
12219,831,27,0.0,
12220,831,32,0.0,
12221,831,48,0.0,
12238,832,27,0.0,
12239,832,32,0.0,
12240,832,48,0.0,
12252,833,21,0.0,
12256,833,27,0.0,
12257,833,32,0.0,
12258,833,48,0.0,
12264,834,19,0.0,
12265,834,21,0.0,
12266,834,24,0.0,
12267,834,48,0.0,
12288,836,27,0.0,
12289,836,32,0.0,
12290,836,48,0.0,
12291,836,49,0.0,
12303,837,21,0.0,
12308,837,27,0.0,
12309,837,32,0.0,
12310,837,48,0.0,
12311,837,49,0.0,
12328,838,27,0.0,
12329,838,32,0.0,
12330,838,48,0.0,
12202,830,49,20.0,
12203,830,50,4.0,
12204,830,51,25.0,
12210,831,17,21.0,
12211,831,18,9.0,
12212,831,19,7.0,
12213,831,20,11.0,
12214,831,21,6.0,
12215,831,22,754.0,
12190,830,17,8.0,
12191,830,18,2.0,
12192,830,19,2.0,
12193,830,20,1.0,
12194,830,21,3.0,
12195,830,22,85.0,
12196,830,23,21.0,
12197,830,24,6.0,
12198,830,25,4.0,
12216,831,23,778.0,
12217,831,24,65.0,
12218,831,25,94.0,
12222,831,49,402.0,
12223,831,50,2.0,
12229,832,17,4.0,
12230,832,18,4.0,
12231,832,19,2.0,
12232,832,20,12.0,
12233,832,21,2.0,
12234,832,22,40.0,
12235,832,23,20.0,
12236,832,24,9.0,
12237,832,25,100.0,
12241,832,49,372.0,
12242,832,50,1.0,
12243,832,51,24.5,
12249,833,17,12.0,
12250,833,18,3.0,
12251,833,19,1.0,
12253,833,22,206.0,
12254,833,23,66.0,
12255,833,24,4.0,
12347,839,27,0.0,
12348,839,32,0.0,
12349,839,48,0.0,
12367,840,48,0.0,
12368,840,49,0.0,
12373,841,21,0.0,
12374,841,48,0.0,
12395,843,49,0.0,
12415,844,49,0.0,
12435,845,49,0.0,
12436,845,50,0.0,
12437,845,51,0.0,
12455,846,49,0.0,
12470,847,21,0.0,
12475,847,49,0.0,
12484,848,18,0.0,
12485,848,19,0.0,
12486,848,20,0.0,
12487,848,21,0.0,
12489,848,23,0.0,
12490,848,24,0.0,
12491,848,25,0.0,
12492,848,49,0.0,
12493,848,50,0.0,
12494,848,51,0.0,
12496,849,4,19042.0,
12497,849,6,33736.0,
12498,849,10,150.0,
12361,840,20,9.0,
12362,840,21,1.0,
12363,840,22,135.0,
12364,840,23,72.0,
12365,840,24,7.0,
12366,840,25,69.0,
12369,840,50,3.0,
12370,840,51,9.0,
12382,843,13,122.0,
12342,839,21,3.0,
12343,839,22,50.0,
12344,839,23,51.0,
12345,839,24,11.0,
12346,839,25,91.0,
12350,839,49,411.0,
12351,839,50,1.0,
12352,839,51,9.0,
12358,840,17,10.0,
12359,840,18,3.0,
12360,840,19,7.0,
12386,843,17,11.0,
12387,843,18,4.0,
12388,843,19,18.0,
12389,843,20,19.0,
12390,843,21,16.0,
12391,843,22,456.0,
12392,843,23,88.0,
12393,843,24,237.0,
12394,843,25,164.0,
12396,843,50,15.0,
12397,843,51,14.0,
12406,844,17,11.0,
12407,844,18,3.0,
12408,844,19,2.0,
12409,844,20,6.0,
12410,844,21,7.0,
12411,844,22,175.0,
12412,844,23,47.0,
12413,844,24,17.0,
12414,844,25,46.0,
12416,844,50,28.0,
12417,844,51,31.0,
12426,845,17,22.0,
12427,845,18,4.0,
12428,845,19,7.0,
12429,845,20,8.0,
12430,845,21,17.0,
12431,845,22,684.0,
12432,845,23,113.0,
12433,845,24,71.0,
12511,849,27,0.0,
12512,849,32,0.0,
12513,849,48,0.0,
12530,850,48,0.0,
12547,851,27,0.0,
12548,851,32,0.0,
12549,851,48,0.0,
12562,853,21,0.0,
12567,853,27,0.0,
12568,853,32,0.0,
12569,853,48,0.0,
12581,856,18,0.0,
12584,856,23,0.0,
12587,856,48,0.0,
12596,857,19,0.0,
12599,857,24,0.0,
12601,857,48,0.0,
12608,858,17,0.0,
12609,858,19,0.0,
12611,858,22,0.0,
12612,858,24,0.0,
12614,858,48,0.0,
12623,859,18,0.0,
12624,859,19,0.0,
12628,859,23,0.0,
12629,859,24,0.0,
12631,859,27,0.0,
12632,859,32,0.0,
12633,859,48,0.0,
12641,860,19,0.0,
12642,860,24,0.0,
12643,860,27,0.0,
12644,860,32,0.0,
12645,860,48,0.0,
12646,860,49,0.0,
12650,861,48,0.0,
12651,861,51,0.0,
12506,849,21,13.0,
12507,849,22,652.0,
12508,849,23,153.0,
12509,849,24,315.0,
12510,849,25,165.0,
12514,849,49,674.0,
12515,849,50,9.0,
12516,849,51,53.0,
12521,850,17,14.0,
12522,850,18,3.0,
12523,850,19,5.0,
12524,850,20,6.0,
12500,849,13,11.0,
12502,849,17,11.0,
12503,849,18,5.0,
12504,849,19,25.0,
12505,849,20,20.0,
12525,850,21,6.0,
12526,850,22,177.0,
12527,850,23,17.0,
12528,850,24,30.0,
12529,850,25,53.0,
12531,850,49,108.0,
12532,850,50,17.0,
12538,851,17,24.0,
12539,851,18,5.0,
12540,851,19,7.0,
12541,851,20,8.0,
12542,851,21,15.0,
12543,851,22,737.0,
12544,851,23,95.0,
12545,851,24,86.0,
12546,851,25,75.0,
12550,851,49,491.0,
12551,851,50,1.0,
12558,853,17,9.0,
12559,853,18,10.0,
12560,853,19,3.0,
12561,853,20,7.0,
12563,853,22,143.0,
12564,853,23,292.0,
12565,853,24,32.0,
12566,853,25,114.0,
12668,863,27,0.0,
12669,863,32,0.0,
12670,863,48,0.0,
12687,864,48,0.0,
12704,865,48,0.0,
12721,866,27,0.0,
12722,866,32,0.0,
12723,866,48,0.0,
12735,867,21,0.0,
12739,867,27,0.0,
12740,867,32,0.0,
12741,867,48,0.0,
12746,868,48,0.0,
12767,870,27,0.0,
12768,870,32,0.0,
12769,870,48,0.0,
12785,871,48,0.0,
12801,872,48,0.0,
12663,863,21,7.0,
12664,863,22,1083.0,
12665,863,23,1357.0,
12666,863,24,123.0,
12667,863,25,184.0,
12671,863,49,75.0,
12672,863,50,10.0,
12673,863,51,28.0,
12678,864,17,9.0,
12657,863,13,5.0,
12659,863,17,27.0,
12660,863,18,7.0,
12661,863,19,11.0,
12662,863,20,21.0,
12679,864,18,2.0,
12680,864,19,2.0,
12681,864,20,6.0,
12682,864,21,2.0,
12683,864,22,118.0,
12684,864,23,28.0,
12685,864,24,8.0,
12686,864,25,48.0,
12688,864,49,115.0,
12689,864,50,4.0,
12695,865,17,31.0,
12696,865,18,5.0,
12697,865,19,7.0,
12698,865,20,11.0,
12699,865,21,1.0,
12700,865,22,819.0,
12701,865,23,66.0,
12702,865,24,85.0,
12703,865,25,88.0,
12705,865,49,407.0,
12706,865,50,2.0,
12712,866,17,5.0,
12713,866,18,5.0,
12816,873,27,0.0,
12817,873,32,0.0,
12818,873,48,0.0,
12830,874,21,0.0,
12834,874,48,0.0,
12840,875,20,0.0,
12842,875,25,0.0,
12843,875,48,0.0,
12844,875,51,0.0,
12861,877,27,0.0,
12862,877,32,0.0,
12863,877,48,0.0,
12879,878,48,0.0,
12896,879,48,0.0,
12911,880,27,0.0,
12912,880,32,0.0,
12913,880,48,0.0,
12925,881,21,0.0,
12929,881,27,0.0,
12930,881,32,0.0,
12931,881,48,0.0,
12932,881,49,0.0,
12937,882,21,0.0,
12938,882,48,0.0,
12956,884,27,0.0,
12957,884,32,0.0,
12958,884,48,0.0,
12827,874,17,11.0,
12828,874,18,4.0,
12829,874,19,2.0,
12831,874,22,152.0,
12832,874,23,116.0,
12833,874,24,11.0,
12835,874,49,46.0,
12836,874,50,6.0,
12837,874,51,12.0,
12841,875,21,2.0,
12850,877,13,4.0,
12813,873,23,78.0,
12814,873,24,13.0,
12815,873,25,83.0,
12819,873,49,290.0,
12820,873,50,1.0,
12821,873,51,6.0,
12852,877,17,23.0,
12853,877,18,5.0,
12854,877,19,8.0,
12855,877,20,18.0,
12856,877,21,4.0,
12857,877,22,900.0,
12858,877,23,132.0,
12859,877,24,1719.0,
12860,877,25,162.0,
12864,877,49,140.0,
12865,877,50,17.0,
12866,877,51,76.25,
