id,year,month,branch_id,patron_type,shelving_location,checkouts,renewals
1,2025,8,6,ADULT,A-AUD,6,5
2,2025,8,6,ADULT,A-AUD-CD,2,2
3,2025,8,6,ADULT,A-AUD-F,1,0
4,2025,8,6,ADULT,A-AUD-MP3,2,1
5,2025,8,6,ADULT,A-DVD,6,12
6,2025,8,6,ADULT,A-FIC,27,37
7,2025,8,6,ADULT,A-GRA,1,1
8,2025,8,6,ADULT,A-HOTSPOT,1,0
9,2025,8,6,ADULT,A-KIT-HOBB,4,3
10,2025,8,6,ADULT,A-LEASE-BK,1,1
11,2025,8,6,ADULT,A-LEASE-FI,12,12
12,2025,8,6,ADULT,A-LEASE-LP,71,100
13,2025,8,6,ADULT,A-LEASE-NF,8,7
14,2025,8,6,ADULT,A-LP,16,19
15,2025,8,6,ADULT,A-LP-BIO,1,0
16,2025,8,6,ADULT,A-LP-FIC,8,12
17,2025,8,6,ADULT,A-LP-MYS,1,0
18,2025,8,6,ADULT,A-MYSTERY,1,0
19,2025,8,6,ADULT,A-NEWBK-FI,6,7
20,2025,8,6,ADULT,A-NEWBK-LP,17,16
21,2025,8,6,ADULT,A-NEWBK-NF,3,2
22,2025,8,6,ADULT,A-NF,21,19
23,2025,8,6,ADULT,A-PLAYAWAY,29,26
24,2025,8,6,ADULT,ILL,2,0
25,2025,8,6,ADULT,J-BEGINREA,1,0
26,2025,8,6,ADULT,J-CALDECTT,3,2
27,2025,8,6,ADULT,J-DVD,5,12
28,2025,8,6,ADULT,J-EASY,38,33
29,2025,8,6,ADULT,J-EASY-PIC,1,1
30,2025,8,6,ADULT,J-FIC,9,14
31,2025,8,6,ADULT,J-GRA,10,2
32,2025,8,6,ADULT,J-KINDERBO,3,0
33,2025,8,6,ADULT,J-NEWBERY,2,0
34,2025,8,6,ADULT,J-NF,37,8
35,2025,8,6,ADULT,J-PIC-BOOK,56,70
36,2025,8,6,ADULT,J-SPA,6,2
37,2025,8,6,ADULT,YA,4,5
38,2025,8,6,ADULT,YA-GRA,1,0
39,2025,8,6,ADULT,YA-GRA-COM,1,0
40,2025,8,6,DISCARD,A-AUD,12,0
41,2025,8,6,DISCARD,A-DVD,10,0
42,2025,8,6,DISCARD,A-FIC,1,0
43,2025,8,6,DISCARD,A-LEASE-FI,7,0
44,2025,8,6,DISCARD,A-LEASE-LP,19,0
45,2025,8,6,DISCARD,A-LEASE-NF,17,0
46,2025,8,6,DISCARD,A-LP,1,0
47,2025,8,6,DISCARD,A-LP-NF,1,0
48,2025,8,6,DISCARD,A-NEWBK-FI,2,0
49,2025,8,6,DISCARD,A-NEWBK-LP,23,0
50,2025,8,6,DISCARD,A-NEWBK-NF,7,0
51,2025,8,6,DISCARD,A-NF,14,0
52,2025,8,6,DISCARD,A-PLAYAWAY,80,0
53,2025,8,6,DISCARD,J-CALDECTT,2,0
54,2025,8,6,DISCARD,J-DVD,23,0
55,2025,8,6,DISCARD,J-EASY,14,0
56,2025,8,6,DISCARD,J-FIC,65,0
57,2025,8,6,DISCARD,J-GRA,9,0
58,2025,8,6,DISCARD,J-NEWBERY,1,0
59,2025,8,6,DISCARD,J-NF,32,0
60,2025,8,6,DISCARD,J-PBK,1,0
61,2025,8,6,DISCARD,J-PIC-BOOK,70,0
62,2025,8,6,DISCARD,J-SPA,1,0
63,2025,8,6,DISCARD,YA,30,0
64,2025,8,6,DISCARD,YA-FIC,2,0
65,2025,8,6,DISCARD,YA-GRA,4,0
66,2025,8,6,HOMEBOUND,A-AUD,4,1
67,2025,8,6,HOMEBOUND,A-AUD-CD,8,2
68,2025,8,6,HOMEBOUND,A-AUD-MP3,7,0
69,2025,8,6,HOMEBOUND,A-DVD,12,0
70,2025,8,6,HOMEBOUND,A-FIC,8,0
71,2025,8,6,HOMEBOUND,A-GRA,1,0
72,2025,8,6,HOMEBOUND,A-LEASE-FI,1,0
73,2025,8,6,HOMEBOUND,A-LEASE-LP,3,1
74,2025,8,6,HOMEBOUND,A-LEASE-NF,4,0
75,2025,8,6,HOMEBOUND,A-LP,7,3
76,2025,8,6,HOMEBOUND,A-LP-BIO,1,0
77,2025,8,6,HOMEBOUND,A-LP-FIC,2,0
78,2025,8,6,HOMEBOUND,A-LP-NF,1,0
79,2025,8,6,HOMEBOUND,A-NEWBK-FI,2,0
80,2025,8,6,HOMEBOUND,A-NEWBK-LP,1,1
81,2025,8,6,HOMEBOUND,A-NEWBK-NF,4,1
82,2025,8,6,HOMEBOUND,A-NF,20,0
83,2025,8,6,HOMEBOUND,A-PLAYAWAY,9,10
84,2025,8,6,HOMEBOUND,J-BEGINREA,1,0
85,2025,8,6,HOMEBOUND,J-EASY,1,0
86,2025,8,6,HOMEBOUND,J-FIC,7,0
87,2025,8,6,HOMEBOUND,J-GRA,2,0
88,2025,8,6,HOMEBOUND,J-NF,10,0
89,2025,8,6,HOMEBOUND,J-PBK,2,0
90,2025,8,6,HOMEBOUND,J-PIC-BOOK,1,0
91,2025,8,6,HOMEBOUND,J-SPA,1,0
92,2025,8,6,HOMEBOUND,YA-AUD,1,0
93,2025,8,6,HOMEBOUND,YA-GRA,1,0
94,2025,8,6,HOMEBOUND,YA-GRA-COM,1,0
95,2025,8,6,INST-TEACH,J-CALDECTT,3,0
96,2025,8,6,INST-TEACH,J-EASY,25,10
97,2025,8,6,INST-TEACH,J-EASY-PIC,1,0
98,2025,8,6,INST-TEACH,J-KINDERBO,13,0
99,2025,8,6,INST-TEACH,J-NF,8,2
100,2025,8,6,INST-TEACH,J-PIC-BOOK,93,0
101,2025,8,6,JUVENILE,A-LEASE-FI,2,8
102,2025,8,6,JUVENILE,J-FIC,6,13
103,2025,8,6,JUVENILE,J-GRA,10,23
104,2025,8,6,JUVENILE,J-NF,2,14
105,2025,8,6,JUVENILE,J-PBK,1,1
106,2025,8,6,JUVENILE,YA,8,13
107,2025,8,6,JUVENILE,YA-FIC,6,14
108,2025,8,6,JUVENILE,YA-GRA,12,31
109,2025,8,6,JUVENILE,YA-SERIES,1,0
110,2025,8,6,STAFF-PERS,A-AUD-CD,1,0
111,2025,8,6,STAFF-PERS,A-FIC,5,1
112,2025,8,6,STAFF-PERS,A-NEWBK-LP,1,0
113,2025,8,6,STAFF-PERS,A-NF,4,2
114,2025,8,6,STAFF-PERS,J-NF,2,1
115,2025,8,6,STAFF-PERS,J-PIC-BOOK,1,0
116,2025,8,6,STAFF-PERS,YA-VID-GAM,1,1
117,2025,8,2,ADULT,A-AUD,5,2
118,2025,8,2,ADULT,A-AUD-CD,5,6
119,2025,8,2,ADULT,A-BIO,3,3
120,2025,8,2,ADULT,A-DVD,76,81
121,2025,8,2,ADULT,A-DVD-FIC,1,0
122,2025,8,2,ADULT,A-DVD-TV,4,2
123,2025,8,2,ADULT,A-FIC,324,232
124,2025,8,2,ADULT,A-GRA,7,2
125,2025,8,2,ADULT,A-HOMESCH,19,7
126,2025,8,2,ADULT,A-HOTSPOT,66,2
127,2025,8,2,ADULT,A-KIT-HOBB,3,2
128,2025,8,2,ADULT,A-LEASE-FI,9,3
129,2025,8,2,ADULT,A-LEASE-LP,1,0
130,2025,8,2,ADULT,A-LEASE-NF,1,1
131,2025,8,2,ADULT,A-LP,48,30
132,2025,8,2,ADULT,A-LP-BIO,2,0
133,2025,8,2,ADULT,A-LP-FIC,18,2
134,2025,8,2,ADULT,A-LP-MYS,1,0
135,2025,8,2,ADULT,A-LP-WEST,1,0
136,2025,8,2,ADULT,A-MYSTERY,10,7
137,2025,8,2,ADULT,A-NEWBK,1,0
138,2025,8,2,ADULT,A-NEWBK-FI,144,77
139,2025,8,2,ADULT,A-NEWBK-LP,8,8
140,2025,8,2,ADULT,A-NEWBK-NF,31,15
141,2025,8,2,ADULT,A-NF,150,135
142,2025,8,2,ADULT,A-SPA,2,2
143,2025,8,2,ADULT,A-VID-GAME,1,0
144,2025,8,2,ADULT,ILL,10,0
145,2025,8,2,ADULT,J-BEGINREA,1,0
146,2025,8,2,ADULT,J-BIO,1,0
147,2025,8,2,ADULT,J-BOARD-BK,9,5
148,2025,8,2,ADULT,J-CALDECTT,7,9
149,2025,8,2,ADULT,J-DVD,68,97
150,2025,8,2,ADULT,J-EASY,211,73
151,2025,8,2,ADULT,J-EASY-F,3,0
152,2025,8,2,ADULT,J-EASY-PIC,3,0
153,2025,8,2,ADULT,J-F-LANG,1,0
154,2025,8,2,ADULT,J-FIC,135,134
155,2025,8,2,ADULT,J-GRA,121,89
156,2025,8,2,ADULT,J-HOLIDAY,1,0
157,2025,8,2,ADULT,J-KIT,1,3
158,2025,8,2,ADULT,J-NEWBERY,8,5
159,2025,8,2,ADULT,J-NF,226,172
160,2025,8,2,ADULT,J-PBK,41,32
161,2025,8,2,ADULT,J-PIC-BOOK,481,217
162,2025,8,2,ADULT,J-SND-REC,1,0
163,2025,8,2,ADULT,J-SPA,30,8
164,2025,8,2,ADULT,LOCAUTH,3,0
165,2025,8,2,ADULT,T-FIC,1,0
166,2025,8,2,ADULT,YA,21,24
167,2025,8,2,ADULT,YA-AUD,2,2
168,2025,8,2,ADULT,YA-DVD,1,0
169,2025,8,2,ADULT,YA-FIC,5,9
170,2025,8,2,ADULT,YA-GRA,20,15
171,2025,8,2,ADULT,YA-PBK,2,2
172,2025,8,2,ADULT,YA-SCIFIC,1,0
173,2025,8,2,ADULT,YA-VID-GAM,2,1
174,2025,8,2,DAMAGED,A-FIC,2,0
175,2025,8,2,DAMAGED,A-LP,1,0
176,2025,8,2,DAMAGED,J-DVD,1,0
177,2025,8,2,DAMAGED,J-EASY,2,0
178,2025,8,2,DAMAGED,J-GRA,1,0
179,2025,8,2,DAMAGED,J-NF,1,0
180,2025,8,2,DAMAGED,J-PIC-BOOK,3,0
181,2025,8,2,DISCARD,A-AUD-CD,1,0
182,2025,8,2,DISCARD,A-BIO,1,0
183,2025,8,2,DISCARD,A-FIC,91,0
184,2025,8,2,DISCARD,A-LP,104,0
185,2025,8,2,DISCARD,A-NEWBK-FI,1,0
186,2025,8,2,DISCARD,A-NEWBK-NF,1,0
187,2025,8,2,DISCARD,A-NF,329,0
188,2025,8,2,DISCARD,J-DVD,1,0
189,2025,8,2,DISCARD,J-EASY,1,0
190,2025,8,2,DISCARD,J-GRA,4,0
191,2025,8,2,DISCARD,J-NF,106,0
192,2025,8,2,DISCARD,J-PIC-BOOK,5,0
193,2025,8,2,DISCARD,YA,140,0
194,2025,8,2,DISCARD,YA-GRA,53,0
195,2025,8,2,DISCARD,YA-PBK,6,0
196,2025,8,2,INST-TEACH,A-DVD,2,2
197,2025,8,2,INST-TEACH,J-FIC,1,0
198,2025,8,2,INST-TEACH,J-NF,3,0
199,2025,8,2,J-INTERNET,A-FIC,1,8
200,2025,8,2,J-INTERNET,J-DVD,5,3
201,2025,8,2,J-INTERNET,J-EASY,10,13
202,2025,8,2,J-INTERNET,J-FIC,7,4
203,2025,8,2,J-INTERNET,J-GRA,8,15
204,2025,8,2,J-INTERNET,J-NF,24,24
205,2025,8,2,J-INTERNET,J-PBK,3,5
206,2025,8,2,J-INTERNET,J-PIC-BOOK,37,30
207,2025,8,2,J-INTERNET,YA-FIC,1,4
208,2025,8,2,J-INTERNET,YA-GRA,5,0
209,2025,8,2,JUVENILE,A-DVD,6,9
210,2025,8,2,JUVENILE,A-FIC,13,5
211,2025,8,2,JUVENILE,A-GRA,6,2
212,2025,8,2,JUVENILE,A-HOMESCH,7,6
213,2025,8,2,JUVENILE,A-KIT-HOBB,1,0
214,2025,8,2,JUVENILE,A-NEWBK-FI,4,1
215,2025,8,2,JUVENILE,A-NEWBK-NF,1,3
216,2025,8,2,JUVENILE,A-NF,13,8
217,2025,8,2,JUVENILE,J-AUD,3,3
218,2025,8,2,JUVENILE,J-DVD,11,14
219,2025,8,2,JUVENILE,J-EASY,61,20
220,2025,8,2,JUVENILE,J-FIC,57,33
